glucose.tolerance.impaired	0.00546	0.00000	0.00000	0.00000	0.02579	0.00000	0.00123	0.00000	0.03752	0.00000
functional.gastrointestinal.disorder	0.00000	0.00000	0.02365	0.00000	0.04779	0.00000	0.00000	0.00515	0.00000	0.00000
aggression	0.00583	0.00000	0.00000	0.03360	0.03569	0.01709	0.00000	0.08216	0.00593	0.00000
strangury	0.00000	0.00000	0.03118	0.00000	0.00000	0.00000	0.00000	0.05364	0.00000	0.00000
transient.ischaemic.attack	0.00000	0.01608	0.00000	0.00000	0.06419	0.00000	0.00000	0.00000	0.01791	0.01789
cardiomegaly	0.00000	0.01656	0.00000	0.00000	0.04658	0.00000	0.00000	0.00000	0.00000	0.02086
mania	0.00000	0.00000	0.00000	0.00000	0.05284	0.00000	0.00000	0.05303	0.00000	0.00000
proctitis	0.05910	0.00000	0.00000	0.00000	0.01938	0.00000	0.00168	0.00000	0.00000	0.00000
disorientation	0.00000	0.05126	0.00000	0.00354	0.03210	0.00000	0.00000	0.08190	0.02119	0.00000
blood.bilirubin.increased	0.00000	0.00000	0.00558	0.02344	0.00000	0.00000	0.00000	0.00689	0.11161	0.05923
blood.lactate.dehydrogenase.increased	0.00000	0.00000	0.02686	0.00000	0.03565	0.00000	0.00000	0.00000	0.08525	0.00820
panophthalmitis	0.00000	0.00000	0.00000	0.02861	0.03686	0.00000	0.00000	0.00000	0.00000	0.00000
wound.secretion	0.00000	0.00000	0.00000	0.00000	0.00000	0.02089	0.00000	0.00655	0.00000	0.07159
eye.disorder	0.03477	0.02294	0.11667	0.03916	0.02050	0.00000	0.00000	0.01546	0.00000	0.00000
periodontitis	0.02762	0.00000	0.00000	0.00000	0.03577	0.00000	0.00000	0.00000	0.01219	0.00000
candida.infection	0.04999	0.00000	0.04857	0.03001	0.02493	0.04145	0.00000	0.00000	0.00254	0.09473
atrioventricular.block.complete	0.00000	0.04471	0.00000	0.00000	0.01125	0.00000	0.00000	0.00000	0.00000	0.01870
gravitational.oedema	0.03844	0.00696	0.00000	0.00000	0.04059	0.00000	0.00000	0.00818	0.02208	0.00000
