RepresentationNumber,ATCcode,nodrugsInATC,noTotalCategoriesTested,pvalOneTailedWilcoxonSumRank,MedianThisCAT,MedianAllPairs,p.adjust
1,G03,20,76,4.80121e-08,21.43754,0.00328,4.05435511111111e-06
1,L02,20,76,3.36451e-12,29.88804,0.00328,1.23103786666667e-09
1,N06,34,76,0.000773873,7.51109,0.00328,0.0158957697297297
2,C01,24,76,1.13055e-06,15.54029,3.0021,6.13727142857143e-05
2,C07,15,76,0.000108893,12.52061,3.0021,0.00343505384615385
2,C08,10,76,4.07687e-05,16.45697,3.0021,0.00147543866666667
2,C09,18,76,8.00082e-06,13.54763,3.0021,0.0003200328
2,N01,11,76,0.000557474,17.94909,3.0021,0.0124611835294118
3,J02,9,76,0.0014994,15.47883,0,0.0292190769230769
3,N06,34,76,0.00075131,4.9411,0,0.0158609888888889
4,D07,11,76,7.02458e-05,16.1808,0,0.00232116556521739
4,D10,8,76,2.04937e-06,27.47264,0,9.7345075e-05
4,L01,90,76,0.000319668,3.14397,0,0.007592115
4,R01,15,76,0.000629576,12.01931,0,0.0136707931428571
4,S01,46,76,1.60056e-08,11.4392,0,1.520532e-06
5,N02,20,76,0.00111312,12.76535,0,0.0222624
5,N03,20,76,1.07599e-07,24.09307,0,8.177524e-06
5,N04,13,76,0.00015549,14.92453,0,0.00422044285714286
5,N05,33,76,0.000164683,3.9836,0,0.00431583034482759
5,N06,34,76,3.98599e-06,11.29993,0,0.000169594844444444
6,A10,20,76,4.01672e-06,16.17779,5.47933,0.000169594844444444
6,C10,14,76,0.000211507,17.91878,5.47933,0.00535817733333333
6,G04,19,76,0.000304342,14.3748,5.47933,0.00746128774193548
6,R01,15,76,2.16351e-05,18.67977,5.47933,0.0008221338
6,R03,29,76,3.15831e-07,17.39039,5.47933,2.000263e-05
7,A02,10,76,0.000349984,12.80505,6.69392,0.00806023757575758
7,J01,47,76,3.43211e-09,13.45289,6.69392,4.20161657142857e-07
7,J05,46,76,0.000113054,11.12754,6.69392,0.00343505384615385
7,V03,12,76,0.00157311,11.94086,6.69392,0.02988909
8,N02,20,76,2.13803e-07,13.3585,0.10781,1.47718436363636e-05
8,N03,20,76,3.86991e-09,20.25138,0.10781,4.20161657142857e-07
8,N04,13,76,1.22736e-06,16.1698,0.10781,6.218624e-05
8,N05,33,76,2.5299e-11,18.76319,0.10781,4.80681e-09
8,N06,34,76,4.85936e-12,17.42118,0.10781,1.23103786666667e-09
9,J02,9,76,0.000117515,16.59311,0,0.00343505384615385
9,J05,46,76,3.5014e-07,8.9464,0,2.04697230769231e-05
9,L01,90,76,6.35127e-11,7.69393,0,9.6539304e-09
9,L04,17,76,0.00012391,16.36899,0,0.00348783703703704
10,B01,21,76,5.62279e-05,13.04659,0.00391,0.00194241836363636
10,L01,90,76,1.09053e-22,15.58501,0.00391,8.288028e-20
